employee_id,quarter,kpi_score,goals_met,projects_completed,team_rating
EMP-0001,Q1-2023,62.6,57.8,3,3.0
EMP-0001,Q2-2023,71.1,71.8,3,3.2
EMP-0001,Q3-2023,71.0,67.9,4,3.8
EMP-0001,Q4-2023,69.6,73.5,2,3.1
EMP-0001,Q1-2024,70.2,70.2,3,3.5
EMP-0001,Q2-2024,77.3,73.9,6,3.8
EMP-0001,Q3-2024,77.8,87.0,4,3.7
EMP-0001,Q4-2024,86.6,97.3,5,4.2
EMP-0002,Q1-2023,62.3,66.3,3,3.0
EMP-0002,Q2-2023,74.2,64.1,4,3.3
EMP-0002,Q3-2023,71.2,66.6,3,3.2
EMP-0002,Q4-2023,76.6,65.8,4,4.0
EMP-0002,Q1-2024,80.9,79.7,4,3.9
EMP-0002,Q2-2024,84.0,77.1,4,4.4
EMP-0002,Q3-2024,89.2,89.7,4,4.1
EMP-0002,Q4-2024,88.6,88.7,5,4.6
EMP-0003,Q1-2023,60.4,60.9,4,3.4
EMP-0003,Q2-2023,60.7,67.9,5,3.5
EMP-0003,Q3-2023,51.6,45.9,4,3.0
EMP-0003,Q4-2023,49.7,46.8,4,2.2
EMP-0003,Q1-2024,57.1,62.8,3,2.8
EMP-0003,Q2-2024,46.3,51.0,1,2.4
EMP-0003,Q3-2024,51.6,52.2,4,2.1
EMP-0003,Q4-2024,48.3,44.5,3,2.2
EMP-0004,Q1-2023,51.1,50.5,2,2.6
EMP-0004,Q2-2023,37.9,33.8,4,1.7
EMP-0004,Q3-2023,43.5,49.2,4,2.6
EMP-0004,Q4-2023,49.7,46.1,2,2.0
EMP-0004,Q1-2024,44.4,50.5,2,2.2
EMP-0004,Q2-2024,45.7,44.8,2,2.2
EMP-0004,Q3-2024,33.8,38.5,3,1.3
EMP-0004,Q4-2024,47.3,56.8,3,2.9
EMP-0005,Q1-2023,75.5,75.4,4,3.5
EMP-0005,Q2-2023,79.0,75.6,4,4.0
EMP-0005,Q3-2023,61.9,56.8,3,2.6
EMP-0005,Q4-2023,65.7,72.8,3,3.2
EMP-0005,Q1-2024,78.1,77.2,4,4.1
EMP-0005,Q2-2024,67.3,71.8,4,3.3
EMP-0005,Q3-2024,72.0,74.5,4,3.7
EMP-0005,Q4-2024,71.1,70.5,3,3.9
